final_date,yt_views,sp_streams,trends_interest,spotify_z,youtube_z,trends_z
2024-05-01,5500000.0,2296645.0,1.0,-0.12442043455327012,0.7993231948023638,-0.15909224815443915
2024-06-01,5100000.0,1837316.0,2.0,-0.1430846079835408,0.7028144492685998,-0.03912104462814079
2024-07-01,5400000.0,1837316.0,2.0,-0.1430846079835408,0.7751960084189229,-0.03912104462814079
2024-08-01,5600000.0,2296645.0,2.0,-0.12442043455327012,0.8234503811858048,-0.03912104462814079
2024-09-01,5000000.0,1837316.0,1.0,-0.1430846079835408,0.6786872628851589,-0.15909224815443915
2024-10-01,5300000.0,2296645.0,1.0,-0.12442043455327012,0.7510688220354819,-0.15909224815443915
2024-11-01,4900000.0,1837316.0,1.0,-0.1430846079835408,0.6545600765017179,-0.15909224815443915
2024-12-01,4600000.0,1837316.0,1.0,-0.1430846079835408,0.5821785173513949,-0.15909224815443915
2025-01-01,4800000.0,2296645.0,1.0,-0.12442043455327012,0.6304328901182769,-0.15909224815443915
2025-02-01,5000000.0,1837316.0,1.0,-0.1430846079835408,0.6786872628851589,-0.15909224815443915
2025-03-01,5200000.0,1837316.0,1.0,-0.1430846079835408,0.7269416356520408,-0.15909224815443915
2025-04-01,4900000.0,1837316.0,1.0,-0.1430846079835408,0.6545600765017179,-0.15909224815443915
2025-05-01,4800000.0,2296645.0,1.0,-0.12442043455327012,0.6304328901182769,-0.15909224815443915
2025-06-01,5000000.0,1837316.0,2.0,-0.1430846079835408,0.6786872628851589,-0.03912104462814079
2025-07-01,4800000.0,2296645.0,2.0,-0.12442043455327012,0.6304328901182769,-0.03912104462814079
2025-08-01,4400000.0,1837316.0,2.0,-0.1430846079835408,0.5339241445845129,-0.03912104462814079
2025-09-01,4100000.0,1837316.0,2.0,-0.1430846079835408,0.4615425854341899,-0.03912104462814079
2025-10-01,5200000.0,2296645.0,2.0,-0.12442043455327012,0.7269416356520408,-0.03912104462814079
2025-11-01,8700000.0,1977935.0,5.0,-0.13737075711936453,1.5713931590724757,0.32079256595075434
2025-12-01,12700000.0,48778767.0,9.0,1.7643137546988794,2.5364806144101157,0.8006773800559478
2026-01-01,14000000.0,71870743.0,8.0,2.7026229947243263,2.8501340373948483,0.6807061765296495
2026-02-01,7900000.0,36806029.0,4.0,1.2778187620744377,1.3783756680049477,0.20082136242445595
2026-03-01,6900000.0,0.0,3.0,-0.21774130170462355,1.137103804170538,0.08085015889815758
2026-04-01,4800000.0,0.0,2.0,-0.21774130170462355,0.6304328901182769,-0.03912104462814079
